Age,Credit_Score,Loan_Type,Gender,Marital_Status,Annual_Income_INR,Loan_Term_Months,Loan_Approved
20,445,vehicle,other,single,2754557,116,0
49,540,education,other,married,194138,158,0
27,643,vehicle,female,married,1310822,154,0
27,334,vehicle,other,divorced,2754648,213,0
36,300,home,other,divorced,2544024,117,0
63,452,business,female,married,1233058,175,0
51,728,gold,male,married,2134768,6,1
50,807,vehicle,male,single,1174536,28,1
40,425,business,male,married,1027751,112,0
45,790,personal,female,single,1769206,118,1
49,781,education,other,divorced,2445245,157,1
24,644,personal,other,single,126038,180,0
46,520,education,other,divorced,746520,94,0
25,324,home,other,married,434629,140,0
18,827,vehicle,female,married,2917166,43,0
20,481,gold,other,married,682061,52,0
41,798,vehicle,male,single,2804831,108,1
40,341,education,female,divorced,2057234,168,0
25,780,gold,female,divorced,250636,211,0
64,738,vehicle,male,divorced,1096173,67,0
54,701,gold,male,divorced,2084194,78,1
20,845,education,other,divorced,2229955,8,0
50,644,home,male,single,2947833,107,0
45,344,home,female,divorced,1002140,153,0
64,320,vehicle,female,married,229997,238,0
25,369,personal,female,divorced,1776702,230,0
51,347,education,other,married,162759,110,0
52,790,vehicle,other,single,1254889,49,1
49,850,vehicle,male,single,2577101,165,1
41,586,home,other,married,2586441,105,0
31,309,gold,other,divorced,1481219,31,0
49,841,education,female,single,702531,53,1
63,573,gold,female,single,1867089,10,0
60,899,business,male,single,1292508,64,1
33,680,business,female,divorced,2280098,66,1
21,628,education,other,married,742641,54,0
54,778,personal,male,married,1166246,163,1
38,314,business,male,divorced,1058784,150,0
31,815,home,female,single,1238270,75,1
48,490,personal,female,divorced,1621215,191,0
35,467,vehicle,female,divorced,2050172,196,0
24,820,business,male,married,1434530,194,0
27,436,home,female,divorced,2306812,196,0
24,453,vehicle,other,divorced,1387970,20,0
50,687,personal,male,single,538804,6,1
40,508,education,female,single,2999517,146,0
38,571,vehicle,other,married,1047538,181,0
36,442,gold,other,single,1412667,133,0
36,368,education,female,divorced,1703820,167,0
53,546,education,other,divorced,1366828,130,0
46,560,personal,male,divorced,705134,163,0
35,378,personal,male,married,2940498,24,0
19,824,home,other,single,902735,124,0
18,629,home,male,divorced,910463,69,0
64,488,gold,female,single,719074,71,0
22,394,education,other,single,187389,62,0
37,307,gold,male,single,1559769,49,0
28,366,gold,female,single,404851,17,0
59,795,personal,female,married,437905,127,1
19,490,gold,male,married,1647800,173,0
20,665,gold,other,married,2973354,29,0
40,820,vehicle,female,divorced,247712,144,0
29,416,home,female,divorced,393679,199,0
37,566,home,female,divorced,1821737,6,0
22,784,education,female,married,2811120,191,0
54,808,home,other,single,2467261,33,1
55,597,business,male,married,2604098,73,0
47,463,education,male,divorced,2226705,110,0
26,675,vehicle,male,divorced,2578098,99,1
51,567,home,female,single,1681165,129,0
61,848,vehicle,other,married,2478232,192,0
52,373,home,male,single,338625,204,0
39,807,home,other,married,1661887,129,1
61,372,vehicle,male,divorced,1818091,27,0
41,607,gold,female,single,2587274,223,0
34,498,gold,male,single,1275806,162,0
27,429,gold,female,married,2246000,94,0
47,871,business,female,married,364186,207,0
63,786,gold,male,married,1851538,217,0
40,450,home,other,divorced,923692,211,0
49,505,personal,female,married,398470,230,0
34,478,vehicle,other,divorced,1283306,202,0
34,496,personal,male,married,706143,50,0
31,388,business,female,married,446758,203,0
26,733,personal,other,divorced,2890060,219,0
57,482,education,female,married,2872180,129,0
19,508,gold,male,divorced,2432480,150,0
62,792,business,female,divorced,1040050,84,0
42,429,home,male,married,675606,44,0
56,312,gold,other,married,923597,173,0
26,405,gold,female,single,2684802,33,0
39,674,personal,other,married,294042,135,0
60,881,education,male,single,1991828,215,0
63,398,gold,male,married,931843,160,0
21,893,vehicle,other,divorced,588124,154,1
43,886,vehicle,other,divorced,2670726,92,1
46,491,gold,male,single,329014,140,0
62,624,personal,other,married,2404222,194,0
51,766,personal,male,single,1709343,57,1
40,666,home,other,married,2034898,181,0
54,617,business,male,married,1911646,131,0
28,443,business,male,divorced,139906,152,0
23,683,business,female,single,753811,78,1
35,515,education,male,divorced,1746062,145,0
38,660,personal,male,divorced,1129141,99,1
59,623,home,female,divorced,2108685,204,0
53,314,vehicle,female,single,2468838,7,0
58,516,business,other,married,1623232,22,0
55,791,vehicle,other,married,1962782,208,0
51,846,vehicle,male,single,2598924,130,1
34,482,gold,other,married,349699,209,0
54,569,education,other,single,178342,136,0
42,766,home,male,single,2577183,26,1
55,818,education,female,married,2895098,83,1
29,841,gold,female,divorced,750369,84,1
40,766,home,male,single,2212016,56,1
59,604,home,male,single,1768416,111,0
39,443,personal,male,single,360281,110,0
38,410,education,male,single,1469709,15,0
44,531,education,male,married,2692224,121,0
48,883,personal,male,married,903737,60,1
23,891,vehicle,other,single,177474,41,0
44,799,gold,other,divorced,152810,56,0
57,894,education,other,married,2061670,79,1
51,853,personal,female,divorced,2414139,22,1
29,572,home,male,divorced,1270328,222,0
62,472,business,male,single,1210376,66,0
24,306,personal,other,married,695230,96,0
27,454,business,female,single,2280546,230,0
62,821,vehicle,other,single,2752256,208,0
34,845,gold,male,divorced,2144217,146,1
43,847,business,male,divorced,2131137,198,0
38,817,vehicle,other,divorced,2630234,100,1
45,514,business,other,single,2512215,230,0
63,433,home,male,single,2224580,218,0
19,584,home,other,single,1515743,85,0
60,425,home,male,single,476304,108,0
18,738,home,other,single,1779762,220,0
53,451,personal,female,single,1575172,207,0
43,630,home,male,single,959254,53,0
46,837,home,female,single,1879277,230,0
38,682,personal,other,married,1544809,91,1
28,414,home,female,married,842068,238,0
57,781,vehicle,other,married,1303134,75,1
28,583,vehicle,female,married,2847239,52,0
53,374,education,female,single,195933,233,0
56,465,vehicle,female,single,2619879,15,0
57,488,gold,male,divorced,1535750,190,0
52,377,gold,female,divorced,2961388,85,0
51,320,gold,other,married,896434,18,0
64,865,personal,other,divorced,1983594,194,0
41,483,vehicle,male,married,2265889,63,0
39,521,gold,male,single,1539877,89,0
22,627,education,other,single,1606460,73,0
50,478,personal,female,divorced,1637458,89,0
53,411,education,other,single,2892836,91,0
64,358,vehicle,male,single,490056,162,0
37,626,home,male,married,2919389,149,0
36,490,education,other,divorced,2800957,68,0
52,499,home,female,single,2842883,180,0
60,611,personal,female,divorced,2684529,48,0
34,334,education,male,single,1996499,156,0
62,678,education,other,married,746704,163,0
60,686,business,other,single,367709,190,0
51,536,personal,male,divorced,1491203,35,0
26,818,personal,other,divorced,1664091,72,1
43,582,gold,male,married,2423837,189,0
19,300,vehicle,female,single,1220629,29,0
26,763,education,female,married,1488085,106,1
26,529,education,other,divorced,1806358,210,0
57,471,personal,female,married,1129768,111,0
34,386,personal,female,single,1714497,229,0
18,852,vehicle,male,single,2137601,106,0
42,422,personal,male,married,467395,209,0
60,597,home,other,divorced,755347,13,0
57,874,home,male,divorced,627956,221,0
59,783,business,other,married,1487000,177,1
42,464,home,other,single,1963762,213,0
56,682,home,male,single,2121694,101,1
52,508,vehicle,female,single,185058,167,0
20,731,education,female,single,348553,40,0
54,688,home,female,divorced,2840421,101,1
61,859,business,female,single,2981794,55,0
61,523,personal,other,married,2272592,150,0
47,302,home,female,married,1175497,7,0
55,671,business,other,married,116683,223,0
51,745,vehicle,male,married,639121,187,0
29,415,personal,male,single,118290,49,0
36,569,business,other,divorced,1118293,214,0
54,746,home,female,single,1385411,107,1
61,667,education,other,divorced,1533806,182,0
34,552,personal,female,single,171656,135,0
27,616,personal,female,divorced,2762693,77,0
64,714,education,other,married,1097291,115,0
29,394,personal,other,married,282097,203,0
33,323,home,female,divorced,2023030,142,0
41,349,personal,other,divorced,2946382,134,0
36,801,home,female,divorced,2936520,202,0
25,797,education,other,married,2188405,108,1
48,634,gold,male,married,204791,142,0
38,378,education,female,single,2929103,147,0
34,881,home,male,divorced,657004,32,1
40,326,vehicle,other,divorced,1417600,142,0
54,570,education,male,divorced,1738928,169,0
33,861,vehicle,other,married,1715957,98,1
23,546,vehicle,female,divorced,2674212,217,0
25,890,home,other,divorced,187941,212,0
42,686,home,other,married,751956,105,1
35,858,gold,female,divorced,2148862,136,1
42,660,business,other,single,1897264,122,1
29,787,personal,female,married,545862,156,1
32,651,education,other,married,2507477,127,1
43,555,home,female,married,1310237,115,0
58,521,education,male,single,450116,78,0
62,300,business,other,married,2047439,35,0
43,845,business,other,married,2025187,24,1
64,745,vehicle,other,married,2933741,107,0
49,378,personal,female,married,2075292,72,0
27,535,gold,other,single,2956012,55,0
33,633,education,female,divorced,107322,53,0
24,648,personal,other,divorced,922343,8,0
34,397,gold,male,married,2899092,231,0
40,381,education,other,single,1899859,71,0
43,801,personal,male,married,2262417,160,1
38,776,home,female,divorced,1215494,220,0
39,849,education,male,divorced,2087860,111,1
24,313,personal,other,single,520722,229,0
31,691,business,other,divorced,590600,116,1
32,646,gold,female,married,2368106,232,0
24,609,personal,other,single,946942,45,0
26,685,home,other,divorced,2329929,130,1
25,508,education,female,married,1875469,23,0
40,656,education,female,single,2022991,160,1
46,867,education,male,married,2700063,144,1
35,393,home,female,divorced,1097575,172,0
48,392,gold,other,married,1500736,24,0
47,639,education,female,single,1488385,94,0
56,896,gold,other,married,2640835,140,1
52,744,personal,male,divorced,524001,228,0
35,321,business,female,single,2057835,62,0
59,590,business,other,single,2697431,135,0
56,784,gold,female,divorced,364848,43,1
34,605,gold,female,married,159092,138,0
31,427,business,female,married,2785545,211,0
48,572,education,female,divorced,2185459,87,0
41,741,vehicle,male,single,2877735,41,1
52,802,vehicle,other,divorced,2355608,201,0
61,429,home,female,single,1211569,93,0
62,431,business,other,single,2032689,210,0
51,896,business,male,married,1902364,124,1
20,781,home,other,divorced,470177,90,0
54,689,vehicle,other,single,1702891,190,0
60,892,personal,male,married,2078847,230,0
57,624,education,female,divorced,1644903,153,0
43,368,education,other,divorced,1364330,138,0
40,747,personal,other,single,2350125,29,1
61,827,personal,female,single,1984974,232,0
56,464,vehicle,female,single,1086141,35,0
32,787,home,other,divorced,1898199,33,1
21,725,personal,male,single,2090886,186,0
46,564,home,female,divorced,2171703,184,0
39,641,gold,female,married,1152149,114,0
42,577,education,male,divorced,2108021,140,0
30,738,vehicle,other,single,1516130,175,1
35,456,education,female,divorced,584260,40,0
50,721,vehicle,other,single,584737,124,1
33,550,gold,other,married,1192491,227,0
62,829,education,other,single,367204,39,0
59,626,gold,male,single,1328742,108,0
61,396,vehicle,other,single,2326623,206,0
19,812,personal,other,single,1203997,122,0
52,515,education,female,single,1194186,81,0
59,431,gold,female,single,2269320,59,0
51,559,business,male,married,406042,34,0
47,424,education,male,married,105589,143,0
30,381,education,female,divorced,2733052,32,0
30,582,education,female,single,2244763,216,0
35,358,home,male,divorced,1865259,18,0
49,843,gold,other,married,1141095,47,1
49,460,gold,male,married,2411615,170,0
52,583,education,other,single,2471187,194,0
56,405,personal,female,single,848658,229,0
63,404,education,female,divorced,2521389,212,0
46,738,home,female,married,1854230,26,1
46,527,vehicle,other,divorced,2183336,136,0
61,881,home,male,divorced,2444520,141,0
33,617,personal,other,divorced,445961,75,0
61,763,education,male,single,364336,226,0
64,898,gold,male,married,1641187,216,0
27,771,business,male,divorced,1853787,150,1
47,355,education,female,married,1136284,15,0
42,312,personal,male,married,932792,230,0
56,739,gold,female,divorced,425396,146,1
37,317,home,male,divorced,2063659,224,0
22,412,vehicle,male,single,853205,111,0
18,528,vehicle,female,married,652960,17,0
47,470,education,female,divorced,2725196,199,0
20,594,home,other,divorced,335437,207,0
62,488,business,male,married,2041935,133,0
31,725,business,female,divorced,2416678,218,0
47,378,personal,other,married,1137577,156,0
21,481,vehicle,other,divorced,2791470,198,0
35,798,home,female,married,658335,230,0
54,370,education,male,divorced,2138154,133,0
42,547,gold,other,divorced,1415884,185,0
18,445,education,male,single,2492918,66,0
63,595,education,male,married,922412,31,0
32,881,home,other,single,1069242,20,1
26,769,vehicle,female,divorced,2054536,27,1
32,805,home,male,married,1757552,94,1
41,492,gold,female,married,2146001,70,0
21,367,home,other,divorced,1827548,159,0
29,793,personal,male,divorced,2275218,26,1
54,351,education,female,divorced,2397100,238,0
54,662,vehicle,female,divorced,1006379,157,1
60,773,business,male,married,1340220,236,0
23,820,gold,female,single,657331,21,1
56,730,business,female,married,1580614,165,1
63,597,education,other,married,1339072,21,0
41,734,home,other,married,1332526,210,0
28,497,business,female,married,588896,47,0
30,427,personal,female,divorced,2283050,165,0
51,831,home,male,single,862717,183,0
42,710,education,other,married,2066116,46,1
24,364,business,male,married,2287186,113,0
21,540,gold,female,single,718211,130,0
25,668,business,male,divorced,2731713,157,1
37,835,business,female,married,2615398,18,1
46,683,vehicle,other,divorced,1013851,208,0
62,730,business,other,married,676748,84,0
63,382,education,female,married,1521523,143,0
27,873,gold,other,single,886228,47,1
60,585,education,female,single,1225515,174,0
51,833,personal,male,divorced,573789,126,1
43,758,home,female,married,250111,136,0
58,511,business,male,divorced,2211169,188,0
20,425,vehicle,female,single,1231477,21,0
23,712,gold,other,single,2996167,49,1
22,798,vehicle,female,single,409169,214,0
22,724,vehicle,female,single,799614,222,0
64,853,vehicle,female,single,2112355,163,0
40,842,business,other,divorced,157943,126,0
26,457,gold,female,divorced,2366640,232,0
52,411,gold,other,single,625799,170,0
37,701,vehicle,female,married,182151,193,0
59,421,home,male,married,2687493,210,0
52,572,business,female,married,1855830,29,0
35,593,business,male,married,648513,235,0
34,697,education,other,married,2611214,31,1
41,770,business,other,single,992485,63,1
20,506,vehicle,female,divorced,1214683,14,0
49,409,personal,other,single,2845827,131,0
52,739,vehicle,female,married,1830124,194,0
55,577,gold,other,married,1471630,24,0
30,867,business,male,divorced,2438760,33,1
64,868,business,other,single,2239682,140,0
42,781,education,male,divorced,2239151,50,1
26,413,personal,female,married,1155185,219,0
21,776,business,female,married,2911281,133,1
31,620,education,female,divorced,2899909,99,0
54,478,education,male,married,603793,196,0
51,518,personal,female,single,2508618,170,0
28,827,vehicle,female,married,891583,21,1
58,791,vehicle,male,married,2727846,233,0
20,360,vehicle,other,single,1473398,10,0
45,353,home,female,married,671350,162,0
46,837,vehicle,other,divorced,2885468,57,1
26,364,personal,other,divorced,735665,156,0
20,885,home,female,married,2956743,11,0
42,470,vehicle,female,single,637421,169,0
51,572,home,male,single,2471505,190,0
29,834,personal,male,divorced,351061,166,1
59,690,vehicle,female,married,349336,54,1
26,626,gold,other,single,1372149,174,0
32,407,business,male,single,1485401,85,0
57,461,personal,male,divorced,868021,188,0
42,751,education,female,divorced,1989353,103,1
22,505,education,female,single,1969646,112,0
28,889,personal,female,divorced,2742085,159,1
51,315,education,female,single,112521,42,0
41,626,personal,male,married,973846,210,0
32,301,gold,male,divorced,1014864,121,0
55,309,personal,male,divorced,924653,22,0
25,733,vehicle,other,married,1248707,229,0
22,424,vehicle,male,single,2476219,37,0
43,380,home,male,single,706049,161,0
35,784,education,female,divorced,2990786,226,0
23,449,business,male,single,2554971,30,0
54,639,education,male,single,2163590,180,0
30,428,personal,male,married,585693,27,0
45,737,business,female,married,1841142,224,0
22,800,business,male,married,635506,66,1
30,357,education,male,divorced,283761,131,0
34,497,business,other,married,721436,49,0
57,510,business,other,married,368860,107,0
62,344,vehicle,other,single,880736,25,0
49,396,gold,other,married,1426808,114,0
46,578,personal,female,divorced,655289,183,0
20,834,education,other,married,1646914,93,0
57,709,vehicle,male,divorced,1564376,180,0
51,760,home,other,single,1541742,52,1
57,690,business,female,single,2987870,205,0
44,343,business,other,married,2227310,56,0
30,326,education,other,single,2727045,188,0
62,396,gold,female,married,598342,211,0
50,847,gold,female,single,1151897,44,1
23,866,education,female,divorced,2897053,19,1
41,518,education,female,single,1069205,202,0
36,484,vehicle,female,married,2952032,180,0
33,368,education,female,married,2777485,26,0
57,429,home,male,married,2075013,148,0
45,866,vehicle,other,divorced,590226,105,1
50,898,business,other,single,1144569,102,1
58,633,business,female,married,2075986,214,0
30,453,business,female,divorced,1401561,217,0
60,846,business,male,divorced,2045548,6,1
62,378,personal,male,divorced,1827750,213,0
42,878,home,female,single,2822541,114,1
59,712,vehicle,male,single,2460114,87,1
53,845,vehicle,male,single,1157010,143,1
44,468,business,female,divorced,483638,156,0
55,882,gold,female,single,2752011,23,1
24,814,vehicle,female,married,1451414,63,1
22,613,home,female,divorced,2315944,131,0
60,331,education,other,single,2864581,78,0
62,586,home,other,divorced,2254350,115,0
48,893,business,female,divorced,1056166,227,0
40,342,business,male,single,451114,210,0
59,300,personal,female,divorced,1069673,57,0
27,872,vehicle,other,single,2270080,228,0
49,569,vehicle,male,single,509318,51,0
60,479,vehicle,other,single,1498518,112,0
47,817,business,female,divorced,2249442,18,1
56,402,vehicle,other,divorced,2844104,101,0
48,309,gold,other,single,1403204,22,0
35,882,gold,other,divorced,1684630,72,1
53,389,education,male,single,1161868,66,0
19,525,vehicle,other,married,2414447,70,0
31,425,personal,male,divorced,802991,186,0
30,508,education,female,divorced,2453969,138,0
46,396,business,female,married,608906,165,0
29,373,vehicle,other,married,1093734,94,0
56,490,gold,male,married,468590,178,0
19,355,personal,female,single,1183109,61,0
49,852,education,male,single,498994,10,1
30,331,personal,male,married,2756499,106,0
63,826,vehicle,other,single,2581714,92,0
44,873,home,other,divorced,1109601,209,0
58,583,personal,male,married,2333090,167,0
34,793,personal,male,divorced,2008973,66,1
57,486,business,other,single,1733525,220,0
48,797,gold,male,married,1978360,213,0
51,741,vehicle,other,single,1520771,195,0
41,429,personal,male,divorced,2023381,74,0
62,591,vehicle,other,single,1330384,68,0
52,413,gold,male,divorced,2690757,49,0
23,498,business,other,single,1764795,33,0
36,312,vehicle,male,divorced,1885887,203,0
47,570,gold,female,single,328594,18,0
24,514,gold,female,married,952259,176,0
27,743,education,male,married,693510,35,1
58,811,business,female,single,341955,159,1
49,746,business,male,divorced,949277,214,0
51,373,vehicle,male,single,2417910,68,0
45,836,home,female,married,1157345,78,1
32,400,education,male,divorced,719657,62,0
47,475,business,other,single,562661,69,0
54,726,gold,male,single,2209420,213,0
46,416,business,male,divorced,241916,182,0
39,465,home,female,single,816123,57,0
21,340,personal,other,married,989109,68,0
37,728,personal,male,married,2863745,215,0
49,643,business,male,divorced,1396915,146,0
53,723,business,male,single,2608174,98,1
21,665,education,male,single,2892838,112,1
44,419,business,male,married,2892025,114,0
34,528,home,male,divorced,807121,93,0
29,429,business,other,divorced,1581294,50,0
39,651,vehicle,other,divorced,2145476,113,1
34,617,home,male,married,1910890,51,0
27,636,education,male,married,2180871,82,0
18,572,vehicle,female,divorced,1169886,222,0
39,416,vehicle,other,divorced,2451892,174,0
43,667,personal,other,single,492445,51,1
35,393,home,male,single,979950,134,0
31,467,vehicle,other,divorced,1705070,206,0
64,640,education,other,married,2206916,201,0
46,451,personal,female,married,2383820,97,0
29,885,vehicle,female,single,1127412,17,1
53,573,home,other,divorced,1369227,93,0
52,853,personal,other,married,596723,78,1
29,795,home,other,married,1282624,168,1
24,400,home,male,married,2335650,107,0
46,856,home,female,married,2748150,104,1
28,381,personal,male,single,1976395,166,0
50,828,vehicle,female,married,2637838,63,1
23,372,business,female,married,237558,133,0
64,313,gold,female,divorced,794618,122,0
32,732,vehicle,other,divorced,1523138,40,1
49,456,personal,female,single,2444856,179,0
28,431,gold,male,single,2481919,89,0
40,637,gold,female,single,1434526,71,0
43,703,gold,male,single,2112295,177,1
51,675,business,female,married,355223,31,1
63,858,education,female,divorced,738450,47,0
51,406,personal,other,married,2357381,82,0
46,564,business,male,married,2726961,35,0
21,504,business,female,married,2996475,121,0
34,378,education,female,divorced,706619,165,0
52,454,gold,male,single,2219626,41,0
30,546,education,female,single,781867,24,0
58,830,education,other,divorced,2207839,27,1
56,837,business,male,divorced,722838,70,1
32,453,personal,other,single,450906,62,0
46,453,home,male,married,986907,16,0
46,391,education,male,single,1663758,31,0
28,732,education,male,divorced,2761665,181,0
49,637,gold,female,single,2678006,24,0
19,779,gold,male,single,1183404,88,0
64,430,business,male,single,2626470,145,0
31,749,gold,male,divorced,2439615,72,1
37,572,vehicle,other,divorced,388967,61,0
39,887,education,male,single,2071441,23,1
28,476,gold,female,single,977806,118,0
44,348,personal,male,married,928444,10,0
20,866,vehicle,male,married,1536182,117,0
34,654,business,other,single,589854,157,1
61,607,home,female,divorced,2638027,211,0
45,345,education,female,married,2945991,120,0
46,601,education,female,single,666922,171,0
38,707,personal,male,married,853997,72,1
64,488,home,male,married,174992,75,0
33,428,home,female,married,2470665,209,0
54,860,business,female,divorced,2406978,57,1
37,836,business,other,single,1775824,208,0
23,565,vehicle,female,divorced,1160986,132,0
36,417,education,male,divorced,1309378,172,0
22,763,gold,male,married,2593033,192,0
20,443,business,male,single,2105979,159,0
18,741,personal,other,married,1317351,70,0
55,499,personal,female,divorced,2656319,85,0
32,456,personal,male,divorced,2876684,181,0
51,786,business,other,single,2724124,118,1
52,433,business,other,divorced,2663398,116,0
42,447,personal,male,divorced,1430607,58,0
41,635,business,other,single,776186,142,0
29,370,gold,other,married,2072260,138,0
35,532,gold,male,single,2527391,121,0
32,633,vehicle,other,divorced,817648,77,0
61,389,education,male,single,534121,194,0
33,633,gold,male,married,1873443,26,0
44,498,vehicle,other,divorced,1276086,230,0
25,460,home,male,married,1728932,108,0
63,837,education,male,married,1428833,112,0
42,420,gold,female,single,405005,68,0
34,600,home,male,married,1960625,153,0
46,874,vehicle,female,single,2033338,191,0
25,735,gold,female,single,2592951,178,1
32,367,gold,female,married,322236,155,0
44,758,business,female,single,2485546,82,1
63,813,home,other,single,1675919,236,0
24,697,gold,other,married,1483057,80,1
20,585,personal,male,divorced,2100506,215,0
46,860,business,male,single,1385251,196,0
61,439,business,male,single,2286528,163,0
41,855,gold,other,married,634221,68,1
20,889,business,female,single,2766487,230,0
37,581,education,other,married,628425,177,0
63,877,home,other,divorced,1762715,72,0
32,756,education,male,divorced,1707346,191,0
42,386,vehicle,male,married,2634524,198,0
47,378,education,male,divorced,1987491,41,0
31,504,personal,female,married,857011,139,0
24,636,business,female,single,2195316,42,0
34,553,business,other,divorced,2102392,98,0
61,603,personal,female,single,647651,80,0
37,679,business,male,single,2698318,188,0
53,429,education,female,married,988522,210,0
26,895,vehicle,female,divorced,179951,208,0
55,575,gold,female,divorced,885338,192,0
39,857,personal,female,single,1801091,171,1
19,482,education,male,single,2515710,120,0
41,567,education,male,married,2838599,158,0
25,621,education,other,divorced,1326700,212,0
28,811,gold,other,married,1235510,82,1
30,377,home,other,married,132691,239,0
34,638,business,female,married,2414404,166,0
25,855,business,female,divorced,1727561,18,1
38,808,vehicle,male,married,2463179,43,1
35,537,home,other,divorced,315932,191,0
47,433,business,male,married,213655,221,0
35,491,vehicle,other,single,907977,153,0
63,655,vehicle,other,married,380348,22,0
64,577,education,other,married,1171844,128,0
48,317,personal,female,divorced,1623090,119,0
55,823,education,other,single,2445714,157,1
49,479,gold,other,single,1635699,31,0
28,422,business,female,divorced,2805823,173,0
62,545,vehicle,other,divorced,877270,37,0
42,672,personal,female,single,1386479,226,0
50,350,business,female,divorced,1355300,211,0
55,370,vehicle,male,single,350736,170,0
58,779,vehicle,female,married,219755,91,0
25,859,education,female,married,1439156,103,1
28,318,personal,female,single,2712557,96,0
39,383,personal,other,single,2658692,225,0
41,454,business,male,married,853045,126,0
58,864,vehicle,other,married,562358,219,0
34,656,personal,female,single,2107614,193,0
29,742,personal,female,divorced,2033532,62,1
63,368,business,male,divorced,2283994,112,0
49,822,education,male,single,700657,191,0
32,442,home,female,divorced,711821,200,0
33,491,gold,female,married,1182097,27,0
39,686,home,other,married,1375132,191,0
45,677,personal,female,divorced,2597856,117,1
37,880,vehicle,other,single,2583196,90,1
50,834,gold,male,married,2239600,85,1
27,592,gold,other,married,1942946,78,0
57,308,vehicle,female,married,2379337,82,0
49,570,gold,other,divorced,2301414,79,0
50,686,vehicle,other,single,508986,132,1
19,392,gold,male,divorced,827531,182,0
50,828,business,other,single,829525,126,1
50,453,business,female,single,1861758,90,0
58,704,home,other,divorced,2247086,182,0
30,448,gold,other,married,1507924,175,0
47,566,education,other,single,2996453,173,0
50,721,vehicle,female,divorced,811658,204,0
30,771,gold,other,married,1230785,179,1
43,846,business,female,single,1230875,155,1
39,825,business,other,single,1717797,87,1
56,802,vehicle,male,married,240642,26,0
19,313,education,male,single,1584879,184,0
55,663,gold,male,divorced,2287329,147,1
56,418,gold,female,single,1505326,79,0
43,537,education,female,single,447983,230,0
63,845,education,female,married,2080352,14,0
32,468,education,other,divorced,2875098,151,0
51,821,business,female,married,1675430,18,1
59,815,vehicle,female,divorced,2960911,22,1
61,696,education,female,married,1749353,131,0
57,405,vehicle,female,single,2000363,92,0
28,384,home,male,divorced,2794380,158,0
20,513,gold,other,divorced,2323883,187,0
23,420,gold,male,single,1246958,21,0
26,431,personal,other,married,2407826,29,0
23,496,home,other,divorced,533951,228,0
26,318,education,male,single,2583161,80,0
56,311,education,female,single,1179421,156,0
48,380,business,male,divorced,179449,174,0
49,629,home,other,divorced,2969820,108,0
58,691,education,other,divorced,1862108,91,1
29,606,personal,female,single,2431821,166,0
25,566,vehicle,male,married,2228323,110,0
25,746,gold,other,married,713467,47,1
45,740,home,male,divorced,2338848,181,0
37,301,gold,female,single,2657132,23,0
64,819,vehicle,female,single,733194,196,0
24,608,home,other,divorced,677218,83,0
28,821,vehicle,female,single,2887120,97,1
37,768,education,other,single,1198225,16,1
33,511,education,other,single,837816,157,0
21,411,education,female,divorced,687791,194,0
23,307,vehicle,female,divorced,2894636,197,0
39,776,vehicle,male,divorced,1527379,169,1
43,759,vehicle,male,married,1025091,131,1
20,552,gold,other,married,496743,216,0
58,825,vehicle,male,divorced,2885579,210,0
59,737,education,other,single,151538,102,0
31,535,personal,female,single,1611291,58,0
28,605,vehicle,female,divorced,1906411,88,0
35,777,personal,male,single,644531,52,1
29,319,education,other,single,2845233,57,0
40,515,vehicle,other,married,1742095,229,0
29,434,gold,male,single,1223224,212,0
30,428,gold,other,single,394203,62,0
42,709,personal,other,divorced,1338515,80,1
62,721,business,female,married,2794218,156,0
36,593,gold,other,married,437621,64,0
63,545,gold,other,single,2741441,74,0
53,855,gold,other,divorced,102700,189,0
62,385,education,male,married,2640525,91,0
25,855,gold,male,married,557099,175,1
46,674,home,male,single,375483,151,1
49,745,vehicle,other,married,349126,76,1
61,677,gold,other,divorced,2061386,38,0
35,689,business,male,divorced,1440263,8,1
23,350,business,male,married,922362,33,0
35,541,gold,other,divorced,1058578,6,0
36,593,gold,other,divorced,2388897,131,0
39,862,home,female,single,129044,196,0
54,565,gold,male,married,440817,118,0
49,419,gold,other,married,1052409,52,0
58,547,vehicle,male,single,2644372,42,0
20,369,business,male,single,1656510,91,0
45,356,home,male,single,826844,53,0
27,681,business,female,single,1115607,113,1
52,338,home,other,divorced,2180594,24,0
46,742,business,other,divorced,2949919,147,1
32,317,gold,male,single,2280877,200,0
50,651,business,other,married,1105837,88,1
24,597,business,female,married,2485308,230,0
29,582,home,male,married,1081200,218,0
47,885,personal,female,single,964945,70,1
38,409,home,female,divorced,2819025,31,0
48,479,home,other,divorced,799748,143,0
41,843,home,other,divorced,2033768,104,1
37,324,education,female,divorced,2410592,82,0
54,356,education,other,married,132835,75,0
21,479,education,female,married,298470,48,0
45,531,home,female,divorced,1146285,75,0
61,642,personal,male,single,1833481,232,0
37,776,home,female,divorced,406535,213,0
41,875,gold,female,divorced,1615647,238,0
49,754,personal,other,single,1514919,205,0
58,531,education,male,divorced,1063292,64,0
53,588,business,other,married,1701265,8,0
51,512,business,male,single,1770628,138,0
53,557,vehicle,other,single,682899,90,0
19,829,personal,female,divorced,1422922,100,0
32,528,education,male,married,818728,83,0
51,525,personal,male,married,334891,106,0
53,895,personal,male,married,1627450,88,1
23,734,business,male,divorced,2720644,170,1
56,701,home,other,divorced,919567,89,1
